time_idx,time_s2,scl_pct
105,20210513T152641_20210513T152639_T18NUJ,0.10918527
106,20210513T152641_20210513T152639_T18NUK,0.01526878
107,20210516T153621_20210516T153619_T18NUJ,0.2901898
108,20210516T153621_20210516T153619_T18NUK,0.105517566
109,20210518T152639_20210518T152638_T18NUJ,0.06735025
110,20210518T152639_20210518T152638_T18NUK,0.013722418
111,20210521T153619_20210521T153619_T18NUJ,0.7216693
112,20210521T153619_20210521T153619_T18NUK,0.275483
113,20210523T152641_20210523T152704_T18NUJ,0.052200988
114,20210523T152641_20210523T152704_T18NUK,0.00014170379
115,20210526T153621_20210526T153620_T18NUJ,0.29037094
116,20210526T153621_20210526T153620_T18NUK,0.09837542
117,20210528T152639_20210528T153131_T18NUJ,0.006729152
118,20210528T152639_20210528T153131_T18NUK,0.0
119,20210531T153619_20210531T153937_T18NUJ,0.07005158
120,20210531T153619_20210531T153937_T18NUK,0.0062254188
121,20210602T152641_20210602T152741_T18NUJ,0.0971733
122,20210602T152641_20210602T152741_T18NUK,0.016022602
123,20210605T153621_20210605T153620_T18NUJ,0.00033707326
124,20210605T153621_20210605T153620_T18NUK,0.0
125,20210607T152639_20210607T152640_T18NUJ,0.0011766287
126,20210607T152639_20210607T152640_T18NUK,0.00036453168
127,20210610T153619_20210610T154022_T18NUJ,0.031052949
128,20210610T153619_20210610T154022_T18NUK,0.017769206
129,20210612T152641_20210612T152639_T18NUJ,0.117751695
130,20210612T152641_20210612T152639_T18NUK,0.014791057
131,20210615T153621_20210615T153619_T18NUJ,0.05990475
132,20210615T153621_20210615T153619_T18NUK,0.077247724
133,20210617T152639_20210617T152640_T18NUJ,0.03762815
134,20210617T152639_20210617T152640_T18NUK,0.011220609
135,20210617T152639_20210617T153208_T18NUJ,0.11137206
136,20210617T152639_20210617T153208_T18NUK,0.011222716
137,20210620T153619_20210620T154108_T18NUJ,0.12349591
138,20210620T153619_20210620T154108_T18NUK,0.06785886
139,20210622T152641_20210622T152738_T18NUJ,0.11643152
140,20210622T152641_20210622T152738_T18NUK,0.017703425
141,20210625T153621_20210625T153620_T18NUJ,0.0
142,20210625T153621_20210625T153620_T18NUK,0.0
143,20210627T152639_20210627T153006_T18NUJ,7.1773757e-06
144,20210627T152639_20210627T153006_T18NUK,6.913986e-06
145,20210630T153619_20210630T153815_T18NUJ,0.0
146,20210630T153619_20210630T153815_T18NUK,0.0
147,20210702T152641_20210702T152641_T18NUJ,0.10194481
148,20210702T152641_20210702T152641_T18NUK,0.0122956345
149,20210705T153621_20210705T153621_T18NUJ,0.57482475
150,20210705T153621_20210705T153621_T18NUK,0.2076037
151,20210707T152639_20210707T152640_T18NUJ,0.14480929
152,20210707T152639_20210707T152640_T18NUK,0.027980572
153,20210710T153619_20210710T153621_T18NUJ,0.13908899
154,20210710T153619_20210710T153621_T18NUK,0.045171704
155,20210712T152641_20210712T152942_T18NUJ,0.016266238
156,20210712T152641_20210712T152942_T18NUK,5.136104e-06
157,20210715T153621_20210715T153622_T18NUJ,0.6947478
158,20210715T153621_20210715T153622_T18NUK,0.24989298
159,20210717T152639_20210717T152645_T18NUJ,0.0
160,20210717T152639_20210717T152645_T18NUK,0.0
161,20210720T153619_20210720T153621_T18NUJ,0.13966843
162,20210720T153619_20210720T153621_T18NUK,0.20584293
163,20210720T153619_20210720T154204_T18NUJ,0.80996525
164,20210720T153619_20210720T154204_T18NUK,0.27245542
165,20210722T152641_20210722T152711_T18NUJ,0.0
166,20210722T152641_20210722T152711_T18NUK,5.267799e-07
167,20210725T153621_20210725T153622_T18NUJ,0.0
168,20210725T153621_20210725T153622_T18NUK,5.267799e-07
169,20210727T152639_20210727T153108_T18NUJ,0.039438166
170,20210727T152639_20210727T153108_T18NUK,0.0049735266
171,20210730T153619_20210730T153649_T18NUJ,0.13980626
172,20210730T153619_20210730T153649_T18NUK,0.14168502
173,20210801T152641_20210801T152646_T18NUJ,0.0
174,20210801T152641_20210801T152646_T18NUK,0.0
175,20210804T153621_20210804T154132_T18NUJ,0.351027
176,20210804T153621_20210804T154132_T18NUK,0.25406647
177,20210806T152639_20210806T152640_T18NUJ,0.00030098885
178,20210806T152639_20210806T152640_T18NUK,0.0
179,20210809T153619_20210809T153619_T18NUJ,1.0535598e-06
180,20210809T153619_20210809T153619_T18NUK,0.0
181,20210811T152641_20210811T152858_T18NUJ,0.010893676
182,20210811T152641_20210811T152858_T18NUK,0.0026013048
183,20210814T153621_20210814T153621_T18NUJ,0.03726184
184,20210814T153621_20210814T153621_T18NUK,0.022200348
185,20210816T152639_20210816T152842_T18NUJ,0.0066464473
186,20210816T152639_20210816T152842_T18NUK,0.00011859132
187,20210819T153619_20210819T153918_T18NUJ,0.02232256
188,20210819T153619_20210819T153918_T18NUK,0.018303888
189,20210821T152641_20210821T152645_T18NUJ,0.054120444
190,20210821T152641_20210821T152645_T18NUK,0.01280266
191,20210824T153621_20210824T153621_T18NUJ,0.09888442
192,20210824T153621_20210824T153621_T18NUK,0.03735212
193,20210826T152639_20210826T152832_T18NUJ,0.0
194,20210826T152639_20210826T152832_T18NUK,0.0
